From,Entry,Entry Name,Length,Organism (ID),Taxonomic lineage,Taxonomic lineage (Ids)
A0A5E4MJ66,A0A5E4MJ66,A0A5E4MJ66_9HEMI,1314,506608,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Panarthropoda (norank)Arthropoda (phylum)Mandibulata (norank)Pancrustacea (norank)Hexapoda (subphylum)Insecta (class)Dicondylia (norank)Pterygota (subclass)Neoptera (infraclass)Paraneoptera (cohort)Hemiptera (order)Sternorrhyncha (suborder)Aphidomorpha (infraorder)Aphidoidea (superfamily)Aphididae (family)Lachninae (subfamily)Cinara (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|7524|33373|33380|33385|27482|96541|97051|
Q9AVX9,Q9AVX9,Q9AVX9_GUITH,1436,55529,cellular organisms (norank)Eukaryota (superkingdom)Cryptophyceae (class)Pyrenomonadales (order)Geminigeraceae (family)Guillardia (genus),|131567|2759|3027|589342|589343|55528|
A0A174J719,A0A174J719,A0A174J719_BACUN,1025,820,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Bacteroidia (class)Bacteroidales (order)Bacteroidaceae (family)Bacteroides (genus),|131567|2|1783270|68336|976|200643|171549|815|816|
A0A7X4Y526,A0A7X4Y526,A0A7X4Y526_9AQUI,523,2024383,cellular organisms (norank)Bacteria (superkingdom)Aquificota (phylum)Aquificae (class)Aquificales (order)Aquificaceae (family)Thermocrinis (genus)unclassified Thermocrinis (norank),|131567|2|200783|187857|32069|64898|75905|2625154|
A0A836VU08,A0A836VU08,A0A836VU08_UNCAT,578,2053509,cellular organisms (norank)Bacteria (superkingdom)Atribacterota (phylum)unclassified Atribacterota (norank),|131567|2|67818|1047049|
A0A0R3R448,A0A0R3R448,A0A0R3R448_9BILA,433,42155,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Nematoda (phylum)Chromadorea (class)Rhabditida (order)Spirurina (suborder)Spiruromorpha (infraorder)Filarioidea (superfamily)Onchocercidae (family)Brugia (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|6231|119089|6236|6274|2072716|6295|6296|6278|
Q53VY2,Q53VY2,CAS3_THET8,920,300852,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Deinococcota (phylum)Deinococci (class)Thermales (order)Thermaceae (family)Thermus (genus)Thermus thermophilus (species),|131567|2|1783272|1297|188787|68933|188786|270|274|
A0A1J8QAI8,A0A1J8QAI8,A0A1J8QAI8_9AGAM,1583,180088,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetidae (subclass)Boletales (order)Suillineae (suborder)Rhizopogonaceae (family)Rhizopogon (genus),|131567|2759|33154|4751|451864|5204|5302|155619|452333|68889|227332|48595|5375|
E0U565,E0U565,E0U565_GLOV7,1004,497965,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Cyanobacteriota/Melainabacteria group (norank)Cyanobacteriota (phylum)Cyanophyceae (class)Oscillatoriophycideae (subclass)Chroococcales (order)Aphanothecaceae (family)Gloeothece (genus)Gloeothece verrucosa (species),|131567|2|1783272|1798711|1117|3028117|1301283|1118|1890450|28070|2546359|
A0A2T3T4M7,A0A2T3T4M7,A0A2T3T4M7_ECOLX,,,,
Q0YUH5,Q0YUH5,Q0YUH5_9CHLB,861,377431,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Chlorobiota (phylum)Chlorobiia (class)Chlorobiales (order)Chlorobiaceae (family)Chlorobium/Pelodictyon group (norank)Chlorobium (genus)Chlorobium ferrooxidans (species),|131567|2|1783270|68336|1090|191410|191411|191412|274493|1091|84205|
A0A1M5U350,A0A1M5U350,A0A1M5U350_9FIRM,752,1123282,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Clostridia (class)Eubacteriales (order)Oscillospiraceae (family)Sporobacter (genus)Sporobacter termitidis (species),|131567|2|1783272|1239|186801|186802|216572|44748|44749|
F0NDL2,F0NDL2,HELS_SULIR,715,930945,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Thermoproteota (phylum)Thermoprotei (class)Sulfolobales (order)Sulfolobaceae (family)Sulfolobus (genus)Sulfolobus islandicus (species),|131567|2157|1783275|28889|183924|2281|118883|2284|43080|
A0A1V5YWS6,A0A1V5YWS6,A0A1V5YWS6_9BACT,883,1852848,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Candidatus Hydrogenedentes (phylum)unclassified Candidatus Hydrogenedentes (norank),|131567|2|1783270|142187|1046981|
A0A8H7HCB1,A0A8H7HCB1,A0A8H7HCB1_9AGAM,1412,456999,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetes incertae sedis (norank)Cantharellales (order)Ceratobasidiaceae (family)Rhizoctonia (genus),|131567|2759|33154|4751|451864|5204|5302|155619|355688|36064|5250|1322061|
A0A292RP31,A0A292RP31,A0A292RP31_9BACT,,,,
A0A3N0W389,A0A3N0W389,A0A3N0W389_9FLAO,1052,192389,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Flavobacteriia (class)Flavobacteriales (order)Weeksellaceae (family)Chryseobacterium group (norank)Chryseobacterium (genus),|131567|2|1783270|68336|976|117743|200644|2762318|2782232|59732|
A0A7C6N9C3,A0A7C6N9C3,A0A7C6N9C3_UNCFI,500,1879010,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum),|131567|2|1783272|1239|
A0A7K4IBP0,A0A7K4IBP0,A0A7K4IBP0_THOAR,893,2053491,cellular organisms (norank)Archaea (superkingdom)Asgard group (norank)Candidatus Thorarchaeota (phylum),|131567|2157|1935183|1706441|
A0A8T0D082,A0A8T0D082,A0A8T0D082_9TREM,1437,34504,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Spiralia (norank)Lophotrochozoa (norank)Platyhelminthes (phylum)Trematoda (class)Digenea (subclass)Plagiorchiida (order)Troglotremata (suborder)Troglotrematidae (family)Paragonimus (genus),|131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6157|6178|6179|27871|116925|34502|34503|
Q6ZRS2,Q6ZRS2,SRCAP_HUMAN,3230,9606,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Sarcopterygii (superclass)Dipnotetrapodomorpha (norank)Tetrapoda (norank)Amniota (norank)Mammalia (class)Theria (norank)Eutheria (norank)Boreoeutheria (norank)Euarchontoglires (superorder)Primates (order)Haplorrhini (suborder)Simiiformes (infraorder)Catarrhini (parvorder)Hominoidea (superfamily)Hominidae (family)Homininae (subfamily)Homo (genus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314146|9443|376913|314293|9526|314295|9604|207598|9605|
F8NMQ4,F8NMQ4,F8NMQ4_SERL9,1441,578457,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetidae (subclass)Boletales (order)Coniophorineae (suborder)Serpulaceae (family)Serpula (genus)Serpula lacrymans (species)Serpula lacrymans var. lacrymans (varietas),|131567|2759|33154|4751|451864|5204|5302|155619|452333|68889|227334|389951|80744|85982|341189|
A0A1Q4R3M4,A0A1Q4R3M4,A0A1Q4R3M4_9CHRO,960,454133,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Cyanobacteriota/Melainabacteria group (norank)Cyanobacteriota (phylum)Cyanophyceae (class)Oscillatoriophycideae (subclass)Chroococcales (order)Geminocystaceae (family)Picosynechococcus (genus)unclassified Picosynechococcus (norank),|131567|2|1783272|1798711|1117|3028117|1301283|1118|2815910|3079908|3079910|
A0A833M8Q2,A0A833M8Q2,A0A833M8Q2_9CLOT,864,1482731,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Clostridia (class)Eubacteriales (order)Clostridiaceae (family)Alkaliphilus (genus),|131567|2|1783272|1239|186801|186802|31979|114627|
D4XEU5,D4XEU5,D4XEU5_9BURK,870,742159,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Burkholderiales (order)Alcaligenaceae (family)Achromobacter (genus)Achromobacter piechaudii (species),|131567|2|1224|28216|80840|506|222|72556|
A0A0M4JSZ1,A0A0M4JSZ1,A0A0M4JSZ1_9MOLU,797,362837,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Mycoplasmatota (phylum)Mollicutes (class)Entomoplasmatales (order)Spiroplasmataceae (family)Spiroplasma (genus),|131567|2|1783272|544448|31969|186328|2131|2132|
A0A7S0D385,A0A7S0D385,A0A7S0D385_9EUKA,1750,1561963,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Rhizaria (norank)Cercozoa (phylum)Chlorarachniophyceae (class)Amorphochlora (genus),|131567|2759|2698737|543769|136419|29197|1561962|
A0A2G5B786,A0A2G5B786,A0A2G5B786_COERN,656,763665,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Fungi incertae sedis (norank)Zoopagomycota (phylum)Kickxellomycotina (subphylum)Kickxellomycetes (class)Kickxellales (order)Kickxellaceae (family)Coemansia (genus)Coemansia reversa (species),|131567|2759|33154|4751|112252|1913638|451828|2219690|4861|4862|4863|61392|
A0A0S6W947,A0A0S6W947,A0A0S6W947_VECG1,1510,1499967,cellular organisms (norank)Bacteria (superkingdom)Candidatus Moduliflexota (phylum)Candidatus Vecturitrichia (class)Candidatus Vecturitrichales (order)Candidatus Vecturitrichaceae (family)Candidatus Vecturithrix (genus),|131567|2|3071909|3071911|3071912|3071913|1940407|
A0A2X2T492,A0A2X2T492,A0A2X2T492_9ENTR,903,158822,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)Enterobacterales (order)Enterobacteriaceae (family)Cedecea (genus),|131567|2|1224|1236|91347|543|158483|
A0A1V4ALH8,A0A1V4ALH8,A0A1V4ALH8_9BACT,627,1943580,cellular organisms (norank)Bacteria (superkingdom)Synergistota (phylum)Synergistia (class)Synergistales (order)Dethiosulfovibrionaceae (family)Pyramidobacter (genus)unclassified Pyramidobacter (norank),|131567|2|508458|649775|649776|3029088|638847|2632171|
A0A524EJ00,A0A524EJ00,A0A524EJ00_THOAR,893,2053491,cellular organisms (norank)Archaea (superkingdom)Asgard group (norank)Candidatus Thorarchaeota (phylum),|131567|2157|1935183|1706441|
A0A1A9VS42,A0A1A9VS42,A0A1A9VS42_GLOAU,1720,7395,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Panarthropoda (norank)Arthropoda (phylum)Mandibulata (norank)Pancrustacea (norank)Hexapoda (subphylum)Insecta (class)Dicondylia (norank)Pterygota (subclass)Neoptera (infraclass)Endopterygota (cohort)Diptera (order)Brachycera (suborder)Muscomorpha (infraorder)Eremoneura (norank)Cyclorrhapha (norank)Schizophora (norank)Calyptratae (norank)Hippoboscoidea (superfamily)Glossinidae (family)Glossina (genus)Glossina (subgenus),|131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43738|43742|43753|7392|7393|44049|
O14646,O14646,CHD1_HUMAN,1710,9606,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Sarcopterygii (superclass)Dipnotetrapodomorpha (norank)Tetrapoda (norank)Amniota (norank)Mammalia (class)Theria (norank)Eutheria (norank)Boreoeutheria (norank)Euarchontoglires (superorder)Primates (order)Haplorrhini (suborder)Simiiformes (infraorder)Catarrhini (parvorder)Hominoidea (superfamily)Hominidae (family)Homininae (subfamily)Homo (genus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314146|9443|376913|314293|9526|314295|9604|207598|9605|
A0A0D7A725,A0A0D7A725,A0A0D7A725_9AGAR,1677,1128425,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetidae (subclass)Agaricales (order)Schizophyllineae (suborder)Fistulinaceae (family)Fistulina (genus)Fistulina hepatica (species),|131567|2759|33154|4751|451864|5204|5302|155619|452333|5338|2985477|40455|40456|40457|
A0A3M7L501,A0A3M7L501,A0A3M7L501_AUXPR,771,3075,cellular organisms (norank)Eukaryota (superkingdom)Viridiplantae (kingdom)Chlorophyta (phylum)core chlorophytes (norank)Trebouxiophyceae (class)Chlorellales (order)Chlorellaceae (family)Auxenochlorella (genus),|131567|2759|33090|3041|2692248|75966|35460|35461|191392|
A0A4Q7VI26,A0A4Q7VI26,A0A4Q7VI26_9BACT,862,1639035,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Bacteroidia (class)Marinilabiliales (order)Marinifilaceae (family)Ancylomarina (genus),|131567|2|1783270|68336|976|200643|1970189|1573805|1970195|
A0A228Q5Z5,A0A228Q5Z5,A0A228Q5Z5_9BURK,860,2015360,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Burkholderiales (order)Burkholderiaceae (family)Burkholderia (genus)unclassified Burkholderia (norank),|131567|2|1224|28216|80840|119060|32008|2613784|
X5WWG6,X5WWG6,X5WWG6_9HYPH,705,1287285,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Hyphomicrobiales (order)Phyllobacteriaceae (family)Mesorhizobium (genus)unclassified Mesorhizobium (norank),|131567|2|1224|28211|356|69277|68287|325217|
A0A132NYZ0,A0A132NYZ0,A0A132NYZ0_GIAIN,2460,1394984,cellular organisms (norank)Eukaryota (superkingdom)Metamonada (norank)Fornicata (phylum)Diplomonadida (order)Hexamitidae (family)Giardiinae (subfamily)Giardia (genus)Giardia intestinalis (species),|131567|2759|2611341|207245|5738|5739|68459|5740|5741|
A0A0A6Z4Y7,A0A0A6Z4Y7,A0A0A6Z4Y7_9EUKA,939,5728,cellular organisms (norank)Eukaryota (superkingdom)Metamonada (norank)Parabasalia (phylum)Trichomonadida (order)Trichomonadidae (family)Pentatrichomonas (genus),|131567|2759|2611341|5719|37104|181550|5727|
A0A1Q9N9S1,A0A1Q9N9S1,A0A1Q9N9S1_ODILC,723,1841599,cellular organisms (norank)Archaea (superkingdom)Asgard group (norank)Candidatus Odinarchaeota (phylum)Candidatus Odinarchaeia (class)Candidatus Odinarchaeales (order)Candidatus Odinarchaeaceae (family)Candidatus Odinarchaeum (genus),|131567|2157|1935183|1936271|3067281|3067284|3067285|2964766|
A0A4R0YCC6,A0A4R0YCC6,A0A4R0YCC6_9PROT,1100,2496640,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Rhodospirillales (order)Acetobacteraceae (family)Roseococcus (genus)unclassified Roseococcus (norank),|131567|2|1224|28211|204441|433|35812|2639982|
A0A2U1FDI6,A0A2U1FDI6,A0A2U1FDI6_9PSEU,1233,663609,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Pseudonocardiales (order)Pseudonocardiaceae (family)Actinomycetospora (genus),|131567|2|1783272|201174|1760|85010|2070|402649|
A0A2W6V9S1,A0A2W6V9S1,A0A2W6V9S1_MICSX,1375,51671,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Micrococcales (order)Microbacteriaceae (family)Microbacterium (genus)unclassified Microbacterium (norank),|131567|2|1783272|201174|1760|85006|85023|33882|2609290|
A0A1I8BVB5,A0A1I8BVB5,A0A1I8BVB5_MELHA,1637,6305,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Nematoda (phylum)Chromadorea (class)Rhabditida (order)Tylenchina (suborder)Tylenchomorpha (infraorder)Tylenchoidea (superfamily)Meloidogynidae (family)Meloidogyninae (subfamily)Meloidogyne (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|6231|119089|6236|6300|33283|33284|315429|33285|189290|
Q9HCK8,Q9HCK8,CHD8_HUMAN,2581,9606,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Sarcopterygii (superclass)Dipnotetrapodomorpha (norank)Tetrapoda (norank)Amniota (norank)Mammalia (class)Theria (norank)Eutheria (norank)Boreoeutheria (norank)Euarchontoglires (superorder)Primates (order)Haplorrhini (suborder)Simiiformes (infraorder)Catarrhini (parvorder)Hominoidea (superfamily)Hominidae (family)Homininae (subfamily)Homo (genus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314146|9443|376913|314293|9526|314295|9604|207598|9605|
A0A8H5GEJ7,A0A8H5GEJ7,A0A8H5GEJ7_9AGAR,1326,201217,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetidae (subclass)Agaricales (order)Agaricineae (suborder)Agaricaceae (family)Leucoagaricus (genus),|131567|2759|33154|4751|451864|5204|5302|155619|452333|5338|2982305|5339|34433|
A0A835WL66,A0A835WL66,A0A835WL66_9CHLO,1193,2026947,cellular organisms (norank)Eukaryota (superkingdom)Viridiplantae (kingdom)Chlorophyta (phylum)core chlorophytes (norank)Chlorophyceae (class)CS clade (norank)Chlamydomonadales (order)Chlamydomonadaceae (family)Chlamydomonas (genus),|131567|2759|33090|3041|2692248|3166|2812636|3042|3051|3052|
A0A841FHK3,A0A841FHK3,A0A841FHK3_9BACL,706,2735914,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Bacilli (class)Bacillales (order)Paenibacillaceae (family)Paenibacillus (genus)unclassified Paenibacillus (norank),|131567|2|1783272|1239|91061|1385|186822|44249|185978|
A0A5N7WI55,A0A5N7WI55,A0A5N7WI55_COMSP,877,34028,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Burkholderiales (order)Comamonadaceae (family)Comamonas (genus)unclassified Comamonas (norank),|131567|2|1224|28216|80840|80864|283|2638500|
A0A7T2IK81,A0A7T2IK81,A0A7T2IK81_LISWE,,,,
Q2EMU8,Q2EMU8,Q2EMU8_METVO,871,2188,cellular organisms (norank)Archaea (superkingdom)Euryarchaeota (phylum)Methanomada group (norank)Methanococci (class)Methanococcales (order)Methanococcaceae (family)Methanococcus (genus),|131567|2157|28890|2283794|183939|2182|2183|2184|
A0A1J4MC90,A0A1J4MC90,A0A1J4MC90_9CRYT,2188,857276,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Apicomplexa (phylum)Conoidasida (class)Coccidia (subclass)Eucoccidiorida (order)Eimeriorina (suborder)Cryptosporidiidae (family)Cryptosporidium (genus),|131567|2759|2698737|33630|5794|1280412|5796|75739|423054|35082|5806|
A0A1B9G1M1,A0A1B9G1M1,A0A1B9G1M1_9TREE,1424,1296100,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Tremellomycetes (class)Tremellales (order)Cryptococcaceae (family)Kwoniella (genus)Kwoniella bestiolae (species),|131567|2759|33154|4751|451864|5204|5302|155616|5234|1884633|490731|324769|
